date,region,product,quantity,price
2025-12-08,North America,Electronics,114,775.87
2025-12-08,Europe,Agricultural Produce,107,144.79
2025-12-08,Europe,Electronics,107,870.72
2025-12-08,Europe,Industrial Machinery,126,4694.41
2025-12-08,Asia Pacific,Electronics,134,802.77
2025-12-08,Asia Pacific,Industrial Machinery,117,5386.51
2025-12-08,Asia Pacific,Textiles,111,371.46
2025-12-08,Latin America,Electronics,106,738.94
2025-12-08,Middle East,Electronics,132,736.39
2025-12-08,Middle East,Chemicals,116,1259.24
2025-12-09,North America,Industrial Machinery,128,5262.27
2025-12-09,North America,Textiles,113,382.26
2025-12-09,North America,Chemicals,120,1279.26
2025-12-09,Europe,Electronics,120,751.89
2025-12-09,Europe,Industrial Machinery,133,5130.03
2025-12-09,Asia Pacific,Electronics,122,805.55
2025-12-09,Asia Pacific,Agricultural Produce,131,156.64
2025-12-09,Latin America,Textiles,133,371.0
2025-12-09,Latin America,Electronics,133,735.06
2025-12-09,Middle East,Industrial Machinery,131,5274.94
2025-12-09,Middle East,Textiles,114,370.2
2025-12-09,Middle East,Electronics,105,791.61
2025-12-10,North America,Agricultural Produce,131,163.5
2025-12-10,North America,Electronics,110,837.71
2025-12-10,North America,Chemicals,119,1143.65
2025-12-10,Europe,Chemicals,122,1295.27
2025-12-10,Europe,Electronics,130,736.29
2025-12-10,Asia Pacific,Electronics,133,789.81
2025-12-10,Asia Pacific,Chemicals,130,1314.61
2025-12-10,Latin America,Industrial Machinery,135,4742.75
2025-12-10,Middle East,Textiles,123,354.76
2025-12-11,North America,Textiles,122,356.87
2025-12-11,North America,Chemicals,130,1303.0
2025-12-11,North America,Agricultural Produce,128,135.22
2025-12-11,Europe,Agricultural Produce,135,163.36
2025-12-11,Europe,Textiles,125,334.66
2025-12-11,Europe,Industrial Machinery,116,5457.5
2025-12-11,Asia Pacific,Electronics,127,789.91
2025-12-11,Asia Pacific,Chemicals,119,1202.32
2025-12-11,Latin America,Textiles,120,350.04
2025-12-11,Latin America,Agricultural Produce,125,145.48
2025-12-11,Latin America,Electronics,135,771.64
2025-12-11,Middle East,Industrial Machinery,135,5125.91
2025-12-12,North America,Electronics,117,763.27
2025-12-12,Europe,Electronics,131,841.07
2025-12-12,Europe,Chemicals,108,1089.49
2025-12-12,Europe,Industrial Machinery,114,5436.95
2025-12-12,Asia Pacific,Electronics,127,871.18
2025-12-12,Latin America,Electronics,126,870.54
2025-12-12,Middle East,Agricultural Produce,125,149.15
2025-12-12,Middle East,Industrial Machinery,135,4641.16
2025-12-13,North America,Industrial Machinery,62,5372.47
2025-12-13,North America,Agricultural Produce,79,164.15
2025-12-13,North America,Textiles,61,365.89
2025-12-13,Europe,Textiles,75,383.1
2025-12-13,Asia Pacific,Electronics,66,817.65
2025-12-13,Asia Pacific,Chemicals,84,1285.27
2025-12-13,Latin America,Agricultural Produce,76,163.53
2025-12-13,Middle East,Industrial Machinery,58,5480.2
2025-12-13,Middle East,Electronics,84,726.43
2025-12-13,Middle East,Agricultural Produce,85,144.2
2025-12-14,North America,Industrial Machinery,75,5010.91
2025-12-14,Europe,Industrial Machinery,75,5470.1
2025-12-14,Asia Pacific,Industrial Machinery,80,4551.22
2025-12-14,Asia Pacific,Textiles,58,360.66
2025-12-14,Latin America,Agricultural Produce,77,161.13
2025-12-14,Latin America,Electronics,78,722.96
2025-12-14,Latin America,Industrial Machinery,80,4809.41
2025-12-14,Middle East,Textiles,84,376.19
2025-12-14,Middle East,Agricultural Produce,77,150.02
2025-12-14,Middle East,Chemicals,73,1275.19
2025-12-15,North America,Electronics,129,863.79
2025-12-15,Europe,Industrial Machinery,110,4644.34
2025-12-15,Asia Pacific,Chemicals,114,1104.67
2025-12-15,Asia Pacific,Agricultural Produce,138,153.24
2025-12-15,Asia Pacific,Electronics,108,780.11
2025-12-15,Latin America,Chemicals,134,1264.96
2025-12-15,Middle East,Textiles,138,362.42
2025-12-16,North America,Industrial Machinery,109,5422.34
2025-12-16,North America,Agricultural Produce,133,157.45
2025-12-16,North America,Textiles,129,341.0
2025-12-16,Europe,Industrial Machinery,122,5350.74
2025-12-16,Europe,Chemicals,113,1312.27
2025-12-16,Asia Pacific,Industrial Machinery,124,4583.54
2025-12-16,Asia Pacific,Agricultural Produce,114,147.67
